DOI,Title,Solvent_Name,Solvent_Type,Battery_Chemistry_Std,SMILES,Concentration_M,Temperature_C,Time_hrs,SLR_gL,Has_Reductant,Reductant_Std,Target_Metal,RDKIT_MW,RDKIT_LogP,RDKIT_TPSA,RDKIT_HBD,RDKIT_HBA,RDKIT_RotBonds,RDKIT_RingCount,RDKIT_AromaticRings,RDKIT_HeavyAtoms,RDKIT_Has_Carboxyl,RDKIT_Has_Hydroxyl,RDKIT_Has_Halogen,RDKIT_Has_Phosphorus,RDKIT_Is_Ionic,RDKIT_Morgan_FP_Density,Efficiency_pct
10.1021/acssuschemeng.7b04373,,Oxalic Acid,Organic Acid,NMC,C(=O)(C(=O)O)O,0.6,70,0.17,20,0,,Overall,90.03,-0.844,74.6,2,2,0,0,0,6,1,1,0,0,0,0.0059,98.5
10.1016/j.jclepro.2018.06.299,,Gluconic Acid,Bio-solvent,Unknown,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0.808260478,30,5.097827281,10,0,,Li,196.16,-3.493,138.45,6,6,5,0,0,13,1,1,0,0,0,0.0186,100
10.1016/j.jclepro.2018.06.299,,Gluconic Acid,Bio-solvent,Unknown,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0.808260478,30,5.097827281,10,0,,Cu,196.16,-3.493,138.45,6,6,5,0,0,13,1,1,0,0,0,0.0186,94
10.1016/j.jclepro.2018.06.299,,Gluconic Acid,Bio-solvent,Unknown,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0.808260478,30,5.097827281,10,0,,Mn,196.16,-3.493,138.45,6,6,5,0,0,13,1,1,0,0,0,0.0186,72
10.1016/j.jclepro.2018.06.299,,Gluconic Acid,Bio-solvent,Unknown,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0.808260478,30,5.097827281,10,0,,Al,196.16,-3.493,138.45,6,6,5,0,0,13,1,1,0,0,0,0.0186,62
10.1016/j.jclepro.2018.06.299,,Gluconic Acid,Bio-solvent,Unknown,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0.808260478,30,5.097827281,10,0,,Ni,196.16,-3.493,138.45,6,6,5,0,0,13,1,1,0,0,0,0.0186,45
10.1016/j.jclepro.2018.06.299,,Gluconic Acid,Bio-solvent,Unknown,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,0.808260478,30,5.097827281,10,0,,Co,196.16,-3.493,138.45,6,6,5,0,0,13,1,1,0,0,0,0.0186,38
,,Cyanex 272,Organic Acid,Mixed,CCCCC(CC)CP(=O)(O)CC(CC)CCCC,0.93148166,50,3.152925798,22.70326532,0,,Zn,290.43,5.69,37.3,1,1,12,0,0,19,0,1,0,1,0,0.0225,97.6
10.1021/acsaem.9b01647,,Acetic Acid,Organic Acid,NMC,CC(=O)O,1.038928901,60,1,33.33333333,1,H2O2,Li,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,100
10.1021/acsaem.9b01647,,Acetic Acid,Organic Acid,NMC,CC(=O)O,1.038928901,60,1,33.33333333,1,H2O2,Ni,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,100
10.1021/acsaem.9b01647,,Acetic Acid,Organic Acid,NMC,CC(=O)O,1.038928901,60,1,33.33333333,1,H2O2,Co,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,100
10.1021/acsaem.9b01647,,Acetic Acid,Organic Acid,NMC,CC(=O)O,1.038928901,60,1,33.33333333,1,H2O2,Mn,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,100
10.1016/j.jece.2018.11.039,,Lactic Acid,Organic Acid,LCO,CC(C(=O)O)O,1.52,79,2,16.3,1,H2O2,Li,90.08,-0.548,57.53,2,2,1,0,0,6,1,1,0,0,0,0.0107,100
10.1016/j.jece.2018.11.039,,Lactic Acid,Organic Acid,LCO,CC(C(=O)O)O,1.52,79,2,16.3,1,H2O2,Co,90.08,-0.548,57.53,2,2,1,0,0,6,1,1,0,0,0,0.0107,97.36
https://doi.org/10.1016/j.jece.2018.102854,,Adipic Acid,Organic Acid,LCO,OC(=O)CCCCC(=O)O,0.1,80,6,2,1,Ascorbic Acid,Co,146.14,0.716,74.6,2,2,5,0,0,10,1,1,0,0,0,0.0107,85
https://doi.org/10.1016/j.jece.2018.102854,,Adipic Acid,Organic Acid,LCO,OC(=O)CCCCC(=O)O,0.1,80,6,2,1,Ascorbic Acid,Li,146.14,0.716,74.6,2,2,5,0,0,10,1,1,0,0,0,0.0107,92
10.1016/j.jpowsour.2019.226828,,Methanesulfonic Acid,Organic Acid,LCO,CS(=O)(=O)O,1,70,1,20,1,H2O2,Li,96.11,-0.496,54.37,1,2,0,0,0,5,0,1,0,0,0,0.0078,100
10.1016/j.jpowsour.2019.226828,,Methanesulfonic Acid,Organic Acid,LCO,CS(=O)(=O)O,1,70,1,20,1,H2O2,Co,96.11,-0.496,54.37,1,2,0,0,0,5,0,1,0,0,0,0.0078,100
https://doi.org/10.1016/j.mineng.2019.03.027,,DL-malic acid,Organic Acid,LCO,C(C(C(=O)O)O)C(=O)O,1.5,90,0.67,20,1,H2O2,Co,134.09,-1.093,94.83,3,3,3,0,0,9,1,1,0,0,0,0.0146,93
https://doi.org/10.1016/j.mineng.2019.03.027,,DL-malic acid,Organic Acid,LCO,C(C(C(=O)O)O)C(=O)O,1.5,90,0.67,20,1,H2O2,Li,134.09,-1.093,94.83,3,3,3,0,0,9,1,1,0,0,0,0.0146,99
10.1039/c9ra02719j,,Methyltrioctylammonium chloride (MTOAC),Organic Solvent,Unknown,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],1.3,25,5.708023667,34.13027247,1,H2O2,Co,404.17,5.519,0,0,0,21,0,0,27,0,0,1,0,1,0.0156,98.23
http://dx.doi.org/10.1098/rsos.191061,,Maleic Acid,Organic Acid,LCO,OC(=O)/C=C\C(=O)O,1,70,1,10,1,H2O2,Li,116.07,-0.288,74.6,2,2,2,0,0,8,1,1,0,0,0,0.0088,99.58
http://dx.doi.org/10.1098/rsos.191061,,Maleic Acid,Organic Acid,LCO,OC(=O)/C=C\C(=O)O,1,70,1,10,1,H2O2,Co,116.07,-0.288,74.6,2,2,2,0,0,8,1,1,0,0,0,0.0088,98.77
https://doi.org/10.1016/j.chemosphere.2020.126670,,Lemon Juice,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.777559975,40,0.75,9.8,1,H2O2,Li,368.25,-2.656,239.35,8,10,7,1,0,25,1,1,0,0,0,0.0361,100
